author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
capital city;real_estate_agent;https://www.cian.ru/rent/flat/309346522/;Москва;rent;flat;64;95;2;96.0;270000;0;Пресненский;набережная Пресненская;12;Деловой центр
InHome24;real_estate_agent;https://www.cian.ru/rent/flat/304383331/;Москва;rent;flat;9;13;-1;16.0;50990;0;Покровское-Стрешнево;Волоколамское шоссе;71/22к2;Спартак
capital city;real_estate_agent;https://www.cian.ru/rent/flat/309251502/;Москва;rent;flat;29;75;2;112.0;255000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/304240294/;Москва;rent;flat;13;13;-1;32.0;84900;0;Хорошевский;Ходынский бульвар;2;ЦСКА
ID 103542454;homeowner;https://www.cian.ru/rent/flat/309585927/;Москва;rent;flat;5;5;2;44.0;65000;0;Фили-Давыдково;Кастанаевская ;23К4;Филёвский парк
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/309687121/;Москва;rent;flat;25;28;2;50.0;120000;0;Щукино;Волоколамское шоссе;24к1;Стрешнево
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/266453571/;Москва;rent;flat;7;13;-1;32.0;84900;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
Калитаград;real_estate_agent;https://www.cian.ru/rent/flat/193324122/;Москва;rent;flat;4;5;2;30.8;50000;0;Фили-Давыдково;Минская ;13К2;Филёвский парк
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/309423598/;Москва;rent;flat;25;28;2;50.0;120000;0;Щукино;Волоколамское шоссе;24к1;Стрешнево
EXCLUSIVE CITY;real_estate_agent;https://www.cian.ru/rent/flat/307221007/;Москва;rent;flat;31;79;2;92.0;630000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
InHome24;real_estate_agent;https://www.cian.ru/rent/flat/309385610/;Москва;rent;flat;14;16;-1;20.0;34990;0;;проезд Чечерский;126к1;Бунинская аллея
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/309500470/;Москва;rent;flat;9;19;2;75.0;120000;0;Обручевский;Профсоюзная ;58К4;Новые Черёмушки
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/309506134/;Москва;rent;flat;9;19;2;75.0;120000;0;Обручевский;Профсоюзная ;58К4;Новые Черёмушки
Ashtons International Realty;real_estate_agent;https://www.cian.ru/rent/flat/309172518/;Москва;rent;flat;10;10;1;30.0;65000;0;Тверской; Чаянова;12;Маяковская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/308259178/;Москва;rent;flat;14;14;2;79.0;180000;0;Пресненский;Зоологический переулок;8;Краснопресненская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/309574520/;Москва;rent;flat;7;13;2;70.0;180000;0;Таганский;Котельническая набережная;1/15кА;Таганская
Медведица;real_estate_agent;https://www.cian.ru/rent/flat/309574613/;Москва;rent;flat;2;5;1;20.0;40000;0;Кузьминки;Жигулевская ;4К1;Кузьминки
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309237532/;Москва;rent;flat;7;13;2;70.0;180000;0;Таганский;Котельническая набережная;1/15кА;Таганская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/309099665/;Москва;rent;flat;7;8;2;55.0;160000;0;Тверской;Тверская ;8К2;Пушкинская
Елена Смирнова;realtor;https://www.cian.ru/rent/flat/290183460/;Москва;rent;flat;12;33;2;41.0;75000;0;Гольяново;Амурская ;2Ак3;Черкизовская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309168445/;Москва;rent;flat;9;9;2;55.0;160000;0;Тверской;Тверская ;8К2;Пушкинская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/307592846/;Москва;rent;flat;13;13;2;100.0;350000;0;Пресненский;Большая Садовая ;5к1;Маяковская
